temperature,humidity,soil_moisture,water_needed
27.1,85.3,1003,1
27.6,41.4,919,1
20.3,63.1,725,0
22.4,56.4,932,0
23.6,78.1,894,0
22.7,87.6,915,0
22.3,44.1,709,0
30.7,42.6,879,1
21.8,43.4,720,0
30.8,87.5,802,0
32.3,71.1,822,0
20.1,73.5,988,1
34.1,63.3,831,0
31.0,48.4,1010,1
34.4,75.9,783,0
34.4,45.4,713,0
33.8,68.8,892,1
24.7,75.8,738,0
28.1,81.5,824,0
19.7,78.6,1007,1
31.7,79.8,989,1
31.3,57.4,919,1
29.2,43.4,874,1
18.2,61.0,950,1
19.8,88.0,935,0
30.0,61.8,967,1
34.4,53.5,975,1
31.2,63.2,1003,1
22.6,82.6,744,0
22.7,62.5,937,0
27.7,73.4,872,0
18.5,82.5,793,0
26.3,57.7,832,0
23.8,84.0,841,0
27.4,65.8,797,0
19.5,76.0,950,1
27.4,52.0,943,1
29.0,64.5,708,0
19.6,51.1,824,0
23.2,69.1,942,0
27.4,57.2,981,1
23.6,75.1,838,0
23.2,51.5,798,0
23.4,77.1,794,0
21.3,76.9,841,0
30.3,88.8,968,1
28.1,89.0,799,0
23.0,58.0,854,0
18.2,66.7,840,0
18.8,42.7,849,0
29.9,46.3,951,1
19.7,40.6,845,0
26.0,62.0,794,0
34.4,52.6,944,1
19.9,43.3,951,1
19.3,71.5,727,0
20.6,80.6,855,0
19.4,52.4,985,1
31.0,70.3,1016,1
21.8,66.1,930,0
33.4,54.9,1001,1
34.8,55.3,1017,1
19.0,88.0,750,0
34.1,50.4,808,0
22.5,44.1,822,0
21.0,43.8,701,0
24.9,74.5,940,0
23.0,51.6,844,0
30.0,62.7,819,0
33.7,79.4,1020,1
28.0,80.2,801,0
25.2,67.2,776,0
33.4,81.3,736,0
19.0,79.6,1004,1
30.7,68.5,847,0
25.5,63.4,855,0
29.9,87.1,956,1
27.2,61.9,1006,1
18.7,61.6,865,0
28.3,41.3,817,0
34.4,81.8,994,1
28.0,41.0,837,0
27.8,78.2,789,0
26.0,72.6,842,0
21.1,69.3,951,1
34.5,63.5,909,1
23.7,73.5,782,0
23.6,74.7,847,0
29.3,60.0,981,1
18.6,44.4,829,0
23.5,88.5,906,0
32.7,81.2,700,0
29.2,67.1,911,1
18.9,65.9,1018,1
30.9,71.3,726,0
21.5,67.5,847,0
25.4,74.9,762,0
18.5,71.5,822,0
30.1,55.5,707,0
27.4,44.7,758,0
25.8,45.9,778,0
26.5,75.8,960,1
30.0,60.8,947,1
34.7,52.2,982,1
20.5,49.5,1006,1
26.6,84.0,735,0
22.7,79.5,912,0
23.8,79.4,836,0
31.9,54.1,852,1
32.2,69.0,950,1
32.7,62.3,947,1
23.9,67.6,978,1
24.4,86.6,796,0
34.7,51.9,896,1
22.0,78.8,722,0
23.4,63.6,895,0
24.6,73.2,777,0
26.4,41.9,957,1
34.4,56.6,751,0
32.9,62.0,969,1
33.5,40.8,773,0
25.0,72.7,779,0
19.3,79.1,835,0
23.8,74.6,741,0
32.5,82.6,973,1
24.5,55.8,949,0
32.8,41.8,735,0
22.0,74.2,847,0
35.0,77.3,922,1
34.6,78.0,751,0
25.5,74.7,714,0
18.8,79.8,850,0
24.1,61.5,825,0
27.0,68.3,792,0
20.9,43.9,895,1
28.5,52.0,998,1
20.4,63.1,830,0
25.8,73.3,938,0
33.3,73.9,780,0
19.3,87.3,1000,1
23.1,88.1,828,0
25.8,55.1,896,0
32.5,45.3,895,1
27.7,68.7,851,0
18.4,81.5,902,0
22.7,68.3,725,0
33.5,77.3,846,0
31.2,51.5,880,1
21.7,49.5,828,0
29.5,76.0,770,0
28.7,85.2,720,0
23.3,62.0,996,1
24.2,46.6,851,1
23.6,60.8,802,0
20.2,67.0,887,0
27.0,85.7,784,0
22.4,81.2,946,0
34.4,54.8,873,1
31.7,63.4,738,0
20.4,88.3,903,0
34.4,80.2,887,1
19.5,59.7,835,0
27.1,62.7,834,0
27.9,81.1,890,0
19.8,51.7,712,0
28.5,87.2,867,1
33.6,51.1,732,0
28.8,63.2,854,1
29.0,45.8,723,0
34.1,55.2,952,1
20.0,51.7,975,1
20.3,62.7,976,1
25.1,77.1,779,0
33.1,72.7,950,1
28.5,87.0,843,0
18.6,58.5,927,0
25.6,51.8,885,1
19.7,74.3,978,1
33.3,72.2,731,0
24.8,49.5,762,0
34.1,81.2,746,0
29.3,72.1,1005,1
34.5,42.5,870,1
22.1,46.3,989,1
21.5,81.5,983,1
21.5,50.8,819,0
23.6,47.4,1005,1
18.0,82.9,774,0
34.8,67.0,789,0
19.9,83.3,767,0
18.3,79.5,821,0
28.0,40.8,835,0
18.9,77.1,969,1
19.9,43.2,929,1
31.2,65.7,755,0
25.7,51.1,1014,1
18.7,79.2,966,1
23.1,72.2,715,0
19.0,63.9,905,0
25.2,45.4,927,1
19.2,44.0,1011,1
20.5,46.3,1019,1
28.8,67.4,866,1
24.5,69.9,850,0
25.7,70.3,750,0
31.5,45.7,982,1
30.3,50.8,931,1
33.1,60.7,932,1
24.8,76.5,860,0
25.3,73.3,891,0
34.2,74.3,942,1
19.1,81.6,747,0
25.3,77.2,890,0
31.8,67.8,1000,1
34.3,68.1,762,0
25.0,83.7,916,0
32.8,76.1,847,0
28.2,57.6,995,1
26.6,47.7,946,1
21.8,45.4,984,1
24.2,78.1,993,1
21.8,61.5,987,1
34.6,80.9,1014,1
29.5,67.8,1011,1
33.8,81.5,836,0
18.5,53.7,858,1
33.7,57.6,792,0
32.8,68.3,905,1
19.2,77.0,715,0
19.6,66.5,892,0
25.1,57.0,889,0
23.3,56.2,990,1
28.1,84.2,779,0
20.7,70.9,741,0
22.6,73.1,948,0
28.3,60.7,810,0
30.8,45.7,920,1
19.9,73.9,1003,1
26.3,73.4,723,0
21.7,89.2,728,0
18.1,55.1,808,0
31.0,78.2,848,0
23.6,40.4,920,1
21.0,59.0,817,0
26.5,81.7,881,0
19.2,83.1,721,0
25.4,63.0,739,0
32.7,68.8,993,1
24.9,72.0,848,0
20.0,41.0,866,1
20.9,87.4,935,0
32.1,86.0,745,0
25.4,45.3,923,1
28.0,66.2,902,1
32.8,77.3,813,0
23.7,48.4,961,1
28.8,66.5,799,0
33.4,57.5,775,0
22.0,47.3,801,0
20.9,47.6,738,0
21.0,78.6,952,1
25.9,68.2,996,1
25.6,86.2,989,1
28.9,89.3,865,1
32.7,71.4,777,0
25.5,63.4,1023,1
23.1,53.7,728,0
24.0,43.7,936,1
25.7,42.8,846,0
19.3,83.2,746,0
28.5,65.4,936,1
27.9,87.7,721,0
25.6,80.5,796,0
23.5,63.8,777,0
34.3,62.5,875,1
34.7,44.2,788,0
18.7,75.4,924,0
26.9,70.5,886,0
24.3,54.1,909,1
31.2,73.9,726,0
31.4,72.4,733,0
23.6,67.9,897,0
22.8,76.2,1008,1
32.8,56.7,998,1
29.3,85.8,858,1
34.5,74.9,900,1
20.2,75.4,743,0
23.3,58.8,868,0
31.8,73.5,969,1
19.6,73.5,960,1
24.2,58.1,792,0
34.2,57.1,948,1
21.3,90.0,779,0
19.3,82.2,751,0
26.6,67.0,969,1
18.6,56.8,1016,1
20.2,58.8,783,0
21.1,74.6,1019,1
31.8,48.3,924,1
18.7,58.2,821,0
34.5,70.5,929,1
22.0,52.0,940,1
33.4,49.7,992,1
34.7,63.1,844,0
31.2,65.1,914,1
34.4,80.8,1009,1
20.4,52.5,946,1
32.9,67.7,752,0
30.1,65.8,763,0
22.8,78.2,839,0
25.6,65.7,923,0
19.6,85.5,930,0
33.0,86.5,912,1
18.9,65.1,820,0
24.6,44.1,814,0
18.5,86.5,871,0
31.5,46.9,846,0
33.6,63.6,771,0
30.9,63.5,1015,1
18.1,44.0,831,0
21.7,47.5,1011,1
27.0,45.6,847,0
22.0,46.1,822,0
25.1,79.7,934,0
19.1,81.8,955,1
28.1,40.8,963,1
27.8,75.9,849,0
25.3,70.7,823,0
27.7,49.4,743,0
26.9,58.0,969,1
27.2,79.3,959,1
27.4,59.5,940,0
18.7,59.3,891,0
22.3,40.8,734,0
23.9,76.6,1021,1
19.8,69.1,870,0
20.3,57.6,873,0
31.8,48.8,937,1
34.7,63.9,793,0
31.8,43.2,934,1
18.6,50.1,802,0
33.1,55.8,858,1
26.8,89.5,978,1
26.0,41.8,797,0
22.9,83.1,724,0
32.7,56.6,763,0
31.6,61.8,904,1
30.6,84.7,897,1
23.8,49.3,954,1
24.2,79.9,836,0
31.6,76.4,740,0
25.3,89.8,792,0
27.3,56.1,740,0
23.6,54.8,928,1
28.2,61.3,927,1
24.0,42.1,880,1
28.5,61.7,729,0
19.3,71.9,886,0
26.7,77.5,781,0
34.2,47.1,1011,1
29.5,61.9,764,0
19.1,78.9,887,0
24.2,87.5,716,0
28.3,74.0,889,1
24.3,78.2,993,1
20.3,58.3,860,0
29.0,52.5,758,0
18.4,49.3,965,1
24.6,68.1,834,0
31.2,75.2,809,0
34.9,54.3,951,1
21.4,46.8,737,0
25.7,84.9,927,0
35.0,80.5,863,1
29.4,75.5,981,1
27.2,84.6,780,0
30.1,86.4,789,0
31.5,65.4,762,0
34.7,79.6,821,0
31.4,41.3,983,1
27.7,63.4,982,1
20.2,84.2,733,0
23.3,90.0,945,0
26.9,78.5,994,1
19.3,88.6,737,0
25.6,74.0,876,0
20.2,81.5,982,1
28.9,49.1,766,0
25.4,85.5,728,0
32.1,65.9,855,1
20.8,56.1,815,0
23.9,87.0,845,0
32.4,52.5,982,1
22.7,71.3,1014,1
27.1,65.1,786,0
28.1,69.0,787,0
29.2,76.0,1009,1
23.7,86.2,721,0
32.0,41.4,723,0
34.1,78.6,835,0
29.1,78.3,913,1
28.5,41.5,1021,1
27.3,72.1,854,0
26.2,80.2,907,0
23.1,43.6,730,0
20.7,60.8,937,0
21.5,70.3,860,0
32.6,56.0,876,1
34.6,46.5,889,1
26.8,45.3,823,0
25.9,53.4,826,0
20.4,42.5,896,1
32.7,60.9,781,0
31.8,86.7,860,1
21.2,48.0,963,1
25.9,84.0,954,1
18.4,87.3,958,1
25.8,52.0,998,1
24.0,42.5,953,1
28.2,82.1,940,1
22.9,40.4,755,0
25.3,84.1,887,0
31.0,58.3,905,1
18.9,68.1,885,0
27.4,43.7,958,1
25.7,67.5,1019,1
29.6,45.9,749,0
24.7,79.7,873,0
27.5,58.3,773,0
21.4,65.5,956,1
18.7,41.9,870,1
31.7,66.0,776,0
28.3,65.8,867,1
33.8,55.9,901,1
34.8,77.0,853,1
28.1,65.4,960,1
27.0,75.4,853,0
26.1,40.8,869,1
29.5,89.0,998,1
23.2,84.9,1022,1
18.5,63.7,996,1
27.8,76.1,998,1
26.2,66.2,1017,1
31.2,59.0,824,0
18.5,87.4,756,0
21.2,62.1,914,0
20.6,74.5,910,0
26.5,70.6,941,0
32.8,76.8,731,0
30.0,65.9,987,1
23.5,73.1,969,1
24.4,87.8,935,0
33.5,57.1,881,1
29.5,83.4,835,0
28.4,49.6,826,0
22.7,54.9,852,1
31.1,75.2,950,1
23.4,57.4,840,0
22.9,68.7,978,1
24.5,89.0,876,0
34.2,80.2,848,0
18.7,87.8,740,0
23.9,62.1,831,0
30.7,50.7,975,1
22.6,68.1,839,0
20.3,70.8,1000,1
22.1,42.5,971,1
21.8,51.6,751,0
25.0,75.9,751,0
29.6,46.9,981,1
34.6,47.9,943,1
26.1,50.0,847,0
23.5,72.3,745,0
29.1,51.6,719,0
33.5,48.8,790,0
33.9,41.8,903,1
31.4,49.3,848,0
32.9,40.5,990,1
28.2,86.4,871,1
22.8,89.5,978,1
26.9,84.5,768,0
32.5,63.4,798,0
31.7,56.5,934,1
29.0,75.9,707,0
30.5,79.5,990,1
29.5,49.7,1012,1
32.6,84.9,918,1
26.8,44.3,748,0
21.1,47.0,865,1
33.9,40.3,896,1
22.0,77.7,868,0
23.1,76.1,705,0
22.4,58.0,820,0
19.1,45.9,857,1
20.7,74.3,859,0
29.7,71.9,851,1
24.2,51.0,768,0
26.1,62.7,1010,1
24.4,75.1,941,0
30.9,80.1,811,0
31.0,74.0,1005,1
32.8,44.1,928,1
27.0,58.1,988,1
19.9,81.4,958,1
21.4,66.8,784,0
23.6,66.0,759,0
29.6,75.8,950,1
19.5,65.5,728,0
25.7,65.7,933,0
27.6,67.9,857,0
30.3,59.8,701,0
30.7,68.9,723,0
25.2,75.0,977,1
34.9,86.7,735,0
34.8,63.6,846,0
25.0,78.4,915,0
24.4,84.6,929,0
32.8,85.3,892,1
19.4,88.2,976,1
20.3,83.0,760,0
21.0,66.9,970,1
20.2,88.9,701,0
30.9,88.9,937,1
29.4,67.2,972,1
24.4,51.5,935,1
23.9,53.8,757,0
18.5,73.0,1014,1
31.0,84.2,708,0
22.1,43.4,1004,1
18.6,69.9,724,0
22.2,42.2,924,1
22.0,50.9,728,0
20.4,89.7,819,0
31.9,76.6,863,1
27.8,78.6,864,0
22.0,83.8,966,1
21.8,55.0,731,0
27.5,69.6,789,0
28.6,61.4,953,1
18.8,57.2,895,0
31.4,55.9,913,1
24.9,55.0,794,0
30.8,63.7,815,0
23.1,75.4,937,0
33.6,68.1,913,1
27.5,46.7,824,0
22.3,56.5,740,0
33.7,82.4,747,0
27.1,81.5,726,0
22.6,73.7,1008,1
18.7,43.6,1000,1
30.3,67.9,945,1
21.6,85.4,855,0
34.3,40.8,797,0
34.4,45.9,945,1
33.5,74.8,804,0
24.7,52.0,864,1
31.2,59.0,973,1
29.0,55.4,884,1
26.7,64.9,750,0
31.6,76.1,863,1
33.5,58.5,911,1
18.8,83.2,774,0
18.3,67.7,999,1
27.8,60.9,778,0
21.3,51.5,991,1
32.2,65.0,872,1
22.4,81.1,951,1
25.8,76.6,880,0
20.9,76.0,950,1
21.1,84.5,730,0
26.9,82.0,738,0
34.1,73.4,703,0
25.0,82.1,818,0
19.2,47.6,811,0
26.6,58.7,1016,1
28.8,86.7,947,1
29.2,40.8,972,1
27.4,40.6,971,1
30.3,66.8,846,0
18.3,80.7,920,0
31.7,85.5,754,0
33.6,66.2,823,0
21.3,66.3,881,0
22.5,59.8,891,0
34.3,62.9,824,0
34.8,51.3,741,0
29.1,82.9,716,0
19.6,59.0,982,1
26.1,71.8,787,0
19.4,82.3,869,0
27.6,82.9,748,0
33.2,86.0,817,0
21.6,83.4,990,1
26.1,42.3,738,0
29.6,54.0,978,1
27.6,41.6,861,1
18.3,50.4,773,0
30.8,75.6,903,1
33.8,55.0,988,1
22.1,81.7,899,0
29.5,67.0,896,1
30.8,47.0,740,0
26.5,88.7,727,0
19.7,51.6,738,0
23.8,78.5,1004,1
24.7,78.7,715,0
28.8,79.2,930,1
26.3,57.8,892,0
25.3,74.0,894,0
19.5,70.9,826,0
30.1,44.1,778,0
24.5,79.2,778,0
30.6,55.8,754,0
19.6,87.1,927,0
24.1,53.5,767,0
19.5,61.5,985,1
27.4,60.4,713,0
19.5,67.7,1005,1
28.2,56.2,897,1
18.2,60.7,743,0
30.3,68.0,824,0
27.7,48.5,894,1
20.9,53.4,837,0
26.4,43.2,922,1
22.7,55.0,739,0
24.1,87.2,1020,1
26.4,70.8,934,0
19.8,55.2,902,0
23.6,71.0,868,0
25.5,61.5,1004,1
20.3,56.0,802,0
26.1,48.9,903,1
34.5,54.6,1024,1
26.3,68.8,824,0
23.5,54.0,901,1
24.2,86.6,802,0
28.1,67.3,981,1
18.5,76.4,807,0
25.5,54.6,735,0
31.9,79.8,909,1
29.4,47.0,855,1
22.1,72.9,916,0
31.4,43.7,1006,1
26.1,60.0,959,1
33.7,83.5,914,1
27.2,79.5,884,0
29.9,80.6,1004,1
28.8,44.2,827,0
29.2,57.8,1013,1
18.8,89.2,904,0
34.4,56.6,920,1
19.8,44.9,813,0
26.7,65.9,997,1
29.7,51.1,891,1
24.6,78.6,1001,1
29.7,47.5,712,0
26.2,54.8,743,0
20.0,87.0,772,0
23.9,57.2,805,0
26.9,57.4,749,0
25.4,74.8,863,0
19.1,42.2,758,0
18.4,57.2,755,0
29.5,48.2,824,0
26.8,67.6,869,0
27.5,87.9,818,0
31.6,71.5,795,0
28.9,61.6,714,0
30.5,84.2,930,1
28.1,59.4,809,0
21.5,77.6,732,0
27.8,80.0,974,1
21.2,56.3,934,0
19.9,73.5,950,1
27.0,72.0,1005,1
24.6,59.6,758,0
23.9,82.3,1016,1
20.9,73.7,852,0
33.6,69.5,768,0
23.3,51.9,759,0
21.1,74.7,961,1
24.6,69.8,994,1
24.5,49.3,975,1
29.8,72.3,788,0
27.4,64.5,771,0
21.2,82.1,1017,1
18.9,58.0,704,0
26.2,49.8,896,1
34.4,65.3,953,1
25.0,64.6,927,0
26.3,44.1,715,0
31.5,51.0,716,0
22.7,66.9,786,0
31.3,68.3,953,1
27.3,45.7,758,0
22.6,67.2,887,0
27.2,77.8,925,0
27.3,89.5,752,0
30.5,72.7,826,0
23.1,90.0,930,0
22.5,83.1,744,0
25.5,89.7,821,0
21.6,76.9,879,0
32.6,70.5,919,1
20.8,47.0,805,0
31.8,80.3,991,1
24.0,54.1,975,1
20.9,89.0,849,0
22.9,53.4,963,1
34.8,74.0,748,0
20.3,77.5,910,0
33.6,89.6,764,0
29.9,46.6,774,0
30.1,81.4,901,1
26.3,68.9,837,0
28.7,58.8,738,0
28.8,84.0,747,0
24.8,77.5,888,0
25.7,64.4,997,1
18.0,78.7,747,0
30.4,62.9,883,1
32.5,79.8,903,1
21.7,61.5,808,0
26.4,56.1,845,0
23.7,68.9,989,1
32.5,79.4,724,0
18.8,71.3,935,0
18.3,86.5,780,0
25.5,40.0,919,1
21.4,74.4,767,0
33.0,55.1,840,0
19.6,58.0,742,0
24.3,85.2,784,0
18.9,71.3,819,0
25.3,44.6,748,0
18.0,63.8,767,0
28.1,66.0,927,1
18.2,74.8,761,0
34.8,61.1,767,0
26.1,51.4,745,0
30.4,45.1,860,1
24.2,55.0,895,1
31.1,77.7,768,0
28.9,73.9,735,0
27.0,40.4,784,0
25.5,76.1,1021,1
30.7,86.0,1015,1
29.7,83.0,744,0
33.2,47.0,763,0
28.0,59.2,919,1
23.3,47.0,841,0
29.0,52.4,1007,1
28.2,70.4,713,0
32.4,72.9,854,1
21.5,70.3,796,0
30.7,54.8,727,0
31.3,79.7,822,0
26.4,45.6,955,1
28.8,43.6,706,0
34.8,86.7,767,0
24.6,81.9,915,0
24.2,74.1,941,0
34.2,78.5,708,0
28.0,40.7,810,0
18.7,43.0,903,1
26.6,71.4,956,1
31.0,61.2,905,1
19.4,66.8,1015,1
20.6,44.2,740,0
26.7,50.2,779,0
27.1,59.5,1024,1
31.0,72.5,733,0
23.3,61.9,822,0
19.0,44.3,922,1
20.0,70.6,728,0
23.3,77.1,789,0
20.0,75.4,705,0
20.8,87.7,967,1
26.8,81.1,832,0
20.8,46.3,837,0
30.5,45.9,715,0
23.7,61.5,968,1
19.1,75.6,995,1
28.7,64.8,961,1
24.1,65.0,990,1
20.8,47.9,752,0
33.2,73.7,759,0
21.9,65.4,722,0
32.6,40.6,723,0
26.0,59.1,776,0
21.0,88.0,718,0
27.4,85.7,914,0
21.8,52.4,863,1
22.6,43.9,890,1
20.0,73.7,726,0
21.0,80.2,723,0
34.2,43.4,938,1
32.7,78.7,859,1
23.6,67.7,704,0
24.3,54.6,855,1
30.6,52.1,888,1
28.1,64.7,800,0
30.5,67.3,825,0
20.6,86.6,712,0
22.0,57.3,704,0
34.2,40.1,892,1
32.4,76.4,753,0
21.5,89.2,914,0
26.4,43.0,772,0
30.1,44.7,818,0
33.3,66.0,890,1
25.8,77.4,997,1
19.6,46.7,901,1
19.3,68.4,922,0
29.3,46.5,849,0
22.4,55.8,901,0
29.9,76.8,862,1
25.7,51.7,803,0
20.3,78.5,755,0
20.6,48.2,938,1
23.3,46.0,883,1
34.4,50.4,857,1
